Temperature,Humidity,Wind Speed,Month
9.472,0.890,14.120,3
9.356,0.860,14.265,3
9.378,0.890,3.928,4
8.289,0.830,14.104,4
8.756,0.830,11.045,4
9.222,0.850,13.959,4
7.733,0.950,12.365,4
8.772,0.890,14.152,4
10.822,0.820,11.318,4
13.772,0.720,12.526,4
16.017,0.670,17.565,4
17.144,0.540,19.787,4
17.800,0.550,21.944,4
17.333,0.510,20.689,4
18.878,0.470,15.376,4
18.911,0.460,10.401,4
15.389,0.600,14.409,4
15.550,0.630,11.157,4
14.256,0.690,8.517,4
13.144,0.700,7.631,4
11.550,0.770,7.390,4
11.183,0.760,4.927,4
10.117,0.790,6.649,4
10.200,0.770,3.928,4
10.422,0.620,16.986,4
9.911,0.660,17.211,4
11.183,0.800,10.819,4
7.156,0.790,11.077,4
6.111,0.820,6.649,4
6.789,0.830,13.009,4
7.261,0.850,11.173,4
7.800,0.830,12.816,4
9.872,0.780,13.749,4
12.222,0.720,15.633,4
15.094,0.610,17.549,4
17.356,0.520,22.782,4
19.006,0.460,23.892,4
20.044,0.400,28.368,4
21.050,0.400,26.903,4
21.183,0.370,25.696,4
20.117,0.400,25.309,4
20.217,0.360,18.113,4
20.000,0.430,23.426,4
17.800,0.500,20.044,4
16.061,0.530,21.397,4
15.022,0.550,21.381,4
14.422,0.580,20.012,4
14.256,0.590,16.503,4
13.772,0.600,17.098,4
13.283,0.630,14.361,4
8.633,0.870,22.041,4
11.250,0.830,11.334,4
11.183,0.890,11.206,4
10.694,0.950,10.401,4
11.111,0.930,12.011,4
11.111,0.930,9.209,4
12.167,0.820,9.902,4
12.756,0.790,13.830,4
13.839,0.840,9.097,4
16.183,0.730,0.644,4
17.517,0.670,0.676,4
17.383,0.670,3.864,4
17.361,0.710,7.825,4
17.206,0.740,15.585,4
15.633,0.810,23.699,4
13.578,0.900,20.962,4
10.911,0.860,22.395,4
8.800,0.990,26.501,4
8.961,0.930,23.216,4
8.200,0.960,25.422,4
7.689,0.960,28.127,4
7.767,0.960,19.288,4
8.200,0.960,20.447,4
8.178,0.930,27.869,4
7.311,0.820,6.746,4
7.644,0.930,14.909,4
6.622,0.930,25.036,4
6.683,0.930,19.835,4
6.089,0.930,28.095,4
6.067,0.930,27.982,4
6.144,0.930,30.864,4
7.133,0.800,32.168,4
7.206,0.860,26.533,4
7.567,0.840,28.336,4
8.900,0.770,29.833,4
9.961,0.710,28.481,4
9.889,0.710,28.513,4
11.067,0.710,25.696,4
10.117,0.760,25.341,4
11.039,0.660,21.413,4
10.650,0.700,17.855,4
10.050,0.700,15.198,4
9.900,0.660,15.730,4
8.794,0.710,12.365,4
7.828,0.720,13.894,4
7.856,0.720,9.805,4
7.317,0.750,6.665,4
7.244,0.750,7.116,4
5.439,0.880,3.719,4
7.200,0.760,14.474,4
6.689,0.700,20.527,4
6.211,0.730,19.304,4
6.111,0.760,17.436,4
6.111,0.760,20.415,4
6.172,0.760,17.050,4
7.222,0.710,20.511,4
7.289,0.730,17.646,4
7.406,0.720,14.409,4
7.961,0.700,10.755,4
8.033,0.700,4.862,4
9.078,0.650,2.383,4
9.050,0.620,0.322,4
9.050,0.650,3.252,4
9.183,0.650,3.011,4
9.072,0.700,10.465,4
7.983,0.750,7.342,4
8.072,0.750,9.515,4
7.894,0.820,9.998,4
7.311,0.830,13.685,4
7.339,0.840,11.544,4
6.622,0.850,12.719,4
6.067,0.880,12.896,4
8.339,0.880,0.692,4
5.183,0.910,5.538,4
3.722,0.940,5.200,4
4.856,0.930,5.619,4
5.211,0.920,4.766,4
6.256,0.920,7.921,4
7.794,0.870,9.757,4
10.050,0.760,9.692,4
12.200,0.660,14.490,4
12.700,0.630,20.334,4
13.933,0.580,23.587,4
15.094,0.590,22.299,4
15.150,0.500,14.715,4
16.178,0.440,14.490,4
16.250,0.550,14.715,4
16.294,0.500,19.594,4
16.100,0.560,14.828,4
12.956,0.680,11.978,4
13.850,0.640,11.560,4
12.778,0.690,14.248,4
12.150,0.720,11.254,4
10.678,0.810,5.780,4
10.444,0.830,2.640,4
9.822,0.800,5.313,4
11.028,0.740,11.383,4
